date,Daily Total
2017-01-23,3322
2017-01-24,3553
2017-01-25,3111
2017-01-26,3616
2017-01-27,3603
2017-01-28,3676
2017-01-29,3559
2017-01-30,3880
2017-01-31,3294
2017-02-01,3840
2017-02-02,3960
2017-02-03,4176
2017-02-04,4299
2017-02-05,4601
2017-02-06,3950
2017-02-07,3029
2017-02-08,3515
2017-02-09,4247
2017-02-10,4548
2017-02-11,4397
2017-02-12,4505
2017-02-13,4006
2017-02-14,4420
2017-02-15,4304
2017-02-16,3928
2017-02-17,4954
2017-02-18,4787
2017-02-19,4404
2017-02-20,3484
2017-02-21,3835
2017-02-22,4334
2017-02-23,3957
2017-02-24,3761
2017-02-25,4684
2017-02-26,4416
2017-02-27,4308
2017-02-28,3461
2017-03-01,3231
2017-03-02,4069
2017-03-03,4889
2017-03-04,4492
2017-03-05,4205
2017-03-06,3450
2017-03-07,4398
2017-03-08,4585
2017-03-09,4205
2017-03-10,4884
2017-03-11,4838
2017-03-12,4812
2017-03-13,3518
2017-03-14,2855
2017-03-15,4674
2017-03-16,4922
2017-03-17,4182
2017-03-18,4524
2017-03-19,4721
2017-03-20,3531
2017-03-21,3810
2017-03-22,3952
2017-03-23,3846
2017-03-24,4563
2017-03-25,2950
2017-03-26,3525
2017-03-27,3516
2017-03-28,3924
2017-03-29,3549
2017-03-30,2731
2017-03-31,3705
2017-04-01,4254
2017-04-02,3746
2017-04-03,3225
2017-04-04,3766
2017-04-05,2600
2017-04-06,4255
2017-04-07,3974
2017-04-08,4461
2017-04-09,4254
2017-04-10,2956
2017-04-11,3369
2017-04-12,3576
2017-04-13,3425
2017-04-14,3794
2017-04-15,4644
2017-04-16,4325
2017-04-17,4247
2017-04-18,4312
2017-04-19,3497
2017-04-20,4045
2017-04-21,4729
2017-04-22,4383
2017-04-23,4399
2017-04-24,4183
2017-04-25,4310
2017-04-26,4247
2017-04-27,3926
2017-04-28,4513
2017-04-29,3210
2017-04-30,3104
2017-05-01,3808
2017-05-02,3739
2017-05-03,4115
2017-05-04,3996
2017-05-05,4723
2017-05-06,4595
2017-05-07,4465
2017-05-08,4101
2017-05-09,3672
2017-05-10,3716
2017-05-11,4214
2017-05-12,4931
2017-05-13,4610
2017-05-14,4776
2017-05-15,4273
2017-05-16,4686
2017-05-17,4405
2017-05-18,4573
